Time,timeStamp,avgnoise,magRMS,maxnoise,temperature,totalAccel,xtRaccel,xtRv,ytRaccel,ytRv,ztRaccel,ztRv
2024-03-07 07:52:42,###############################################################################################################################################################################################################################################################,88.20975,"[{""N"":""602.662""},{""N"":""589.0195""},{""N"":""1590.09""}]",88.20975,38.1875,3.13,1.225793,5.673482,2.158658,12.13419,1.909663,11.7014
2024-03-07 07:51:42,1.7098E+12,92.46301,"[{""N"":""571.5667""},{""N"":""574.0148""},{""N"":""1559.24""}]",92.46301,38.1875,3.08,1.186027,4.675491,2.197286,12.08853,1.807997,11.20084
2024-03-07 07:50:42,1.7098E+12,88.04607,"[{""N"":""561.3074""},{""N"":""635.5589""},{""N"":""1551.988""}]",88.04607,38.1875,3.13,1.284489,5.829611,2.137701,12.2569,1.892932,11.94983
2024-03-07 07:49:42,1.7098E+12,87.94973,"[{""N"":""603.1833""},{""N"":""593.169""},{""N"":""1592.395""}]",87.94973,38.1875,3.09,1.282373,5.774235,2.109374,11.87872,1.865743,11.57867
2024-03-07 07:47:23,1.7098E+12,90.33825,"[{""N"":""569.1376""},{""N"":""579.1996""},{""N"":""1580.163""}]",90.33825,38.125,3.11,1.211952,4.597571,2.233041,11.9202,1.79275,11.00745
2024-03-07 07:46:22,1.7098E+12,89.47472,"[{""N"":""574.7918""},{""N"":""647.0654""},{""N"":""1597.135""}]",89.47472,38.125,3.03,1.142263,4.59755,2.165231,12.37572,1.777839,11.1558
2024-03-07 07:45:23,1.7098E+12,89.94584,"[{""N"":""591.1035""},{""N"":""597.6403""},{""N"":""1572.55""}]",89.94584,38.0625,3.1,1.26088,5.767014,2.120215,11.86157,1.872973,11.75364
2024-03-07 07:44:22,1.7098E+12,90.36523,"[{""N"":""518.2668""},{""N"":""693.5406""},{""N"":""1585.767""}]",90.36523,38.0625,3.05,1.191278,4.538889,2.161797,11.80509,1.784953,10.85806
2024-03-07 07:43:22,1.7098E+12,89.10645,"[{""N"":""537.748""},{""N"":""687.3422""},{""N"":""1582.786""}]",89.10645,38.0625,3.08,1.237533,5.399972,2.139654,11.95818,1.842986,11.48699
2024-03-07 07:42:22,1.7098E+12,88.03375,"[{""N"":""517.8506""},{""N"":""647.0566""},{""N"":""1596.395""}]",88.03375,38.0625,3.13,1.316182,5.97821,2.111973,11.74272,1.892053,11.60499
2024-03-07 07:41:22,1.7098E+12,87.64924,"[{""N"":""518.1454""},{""N"":""686.6462""},{""N"":""1598.336""}]",87.64924,38.0625,2.99,1.117216,3.816753,2.153367,12.0017,1.742551,10.67556
2024-03-07 07:40:22,1.7098E+12,87.63087,"[{""N"":""566.3481""},{""N"":""576.5505""},{""N"":""1577.917""}]",87.63087,38.0625,3.06,1.155704,4.078104,2.230648,11.94128,1.745261,10.56943
2024-03-07 07:39:22,1.7098E+12,91.16115,"[{""N"":""527.1741""},{""N"":""621.5009""},{""N"":""1599.506""}]",91.16115,38.0625,3.02,1.114841,4.105771,2.159938,12.08561,1.79154,10.90884
2024-03-07 07:38:21,1.7098E+12,91.48119,"[{""N"":""598.255""},{""N"":""584.5965""},{""N"":""1576.96""}]",91.48119,38.0625,3.07,1.158718,4.44197,2.205471,12.08325,1.793964,11.1125
2024-03-07 07:37:22,1.7098E+12,88.01865,"[{""N"":""589.5138""},{""N"":""571.2203""},{""N"":""1567.743""}]",88.01865,38,3.18,1.308459,5.886354,2.168166,12.24752,1.930403,12.01782
2024-03-07 07:36:23,1.7098E+12,88.88521,"[{""N"":""571.6663""},{""N"":""573.8731""},{""N"":""1556.393""}]",88.88521,38,3,1.18196,4.721434,2.116457,11.75974,1.762434,10.95591
2024-03-07 07:35:22,1.7098E+12,88.63276,"[{""N"":""512.5187""},{""N"":""699.7252""},{""N"":""1578.085""}]",88.63276,38,3.19,1.232649,4.982614,2.273676,12.56548,1.87154,11.57523
2024-03-07 07:34:23,1.7098E+12,88.61534,"[{""N"":""499.9951""},{""N"":""681.17""},{""N"":""1560.342""}]",88.61534,38,3.05,1.202572,4.946765,2.155007,12.12411,1.795473,11.2173
2024-03-07 07:33:22,1.7098E+12,92.33667,"[{""N"":""584.5181""},{""N"":""602.1186""},{""N"":""1547.452""}]",92.33667,38,3.04,1.220253,5.604598,2.097803,12.00042,1.831851,11.42018
2024-03-07 07:32:23,1.7098E+12,89.16878,"[{""N"":""525.3197""},{""N"":""671.5193""},{""N"":""1545.152""}]",89.16878,38,3.17,1.293674,5.664673,2.187664,12.21431,1.898152,11.77652
2024-03-07 07:31:22,1.7098E+12,91.57591,"[{""N"":""546.5195""},{""N"":""629.2296""},{""N"":""1660.104""}]",91.57591,38,3.12,1.291551,6.046984,2.083991,12.13203,1.923954,12.08537
2024-03-07 07:30:23,1.7098E+12,87.45532,"[{""N"":""574.0405""},{""N"":""677.9153""},{""N"":""1656.752""}]",87.45532,38,3.17,1.226026,4.765337,2.263445,12.67184,1.854295,11.56145
2024-03-07 07:29:22,1.7098E+12,89.68819,"[{""N"":""559.5422""},{""N"":""692.6035""},{""N"":""1654.333""}]",89.68819,38,3.02,1.145579,4.768946,2.160073,12.21363,1.768854,10.84011
2024-03-07 07:28:22,1.7098E+12,88.51289,"[{""N"":""620.9774""},{""N"":""590.3688""},{""N"":""1645.032""}]",88.51289,38,3.14,1.256275,5.750452,2.144009,12.24174,1.912283,12.03614
2024-03-07 07:27:22,1.7098E+12,88.60293,"[{""N"":""581.2383""},{""N"":""650.6337""},{""N"":""1631.98""}]",88.60293,38,2.98,1.119674,4.338996,2.127978,12.35163,1.764902,11.12438
2024-03-07 07:26:22,1.7098E+12,88.93234,"[{""N"":""602.7189""},{""N"":""575.7128""},{""N"":""1596.296""}]",88.93234,37.9375,3.2,1.298127,6.134514,2.179515,12.00022,1.945921,11.91604
2024-03-07 07:25:22,1.7098E+12,90.14426,"[{""N"":""550.7169""},{""N"":""674.3297""},{""N"":""1597.801""}]",90.14426,37.9375,3.13,1.213642,5.559325,2.17515,12.19739,1.893008,11.71653
2024-03-07 07:24:22,1.7098E+12,87.39555,"[{""N"":""602.5012""},{""N"":""594.9315""},{""N"":""1596.798""}]",87.39555,37.875,3.01,1.208783,5.207129,2.069922,11.85551,1.82254,11.34131
2024-03-07 07:23:22,1.7098E+12,90.43166,"[{""N"":""521.0173""},{""N"":""706.2588""},{""N"":""1587.114""}]",90.43166,37.8125,2.91,1.040442,4.058988,2.088068,12.02879,1.737456,10.66134
2024-03-07 07:22:22,1.7098E+12,87.99873,"[{""N"":""526.9566""},{""N"":""685.275""},{""N"":""1567.633""}]",87.99873,37.8125,3.11,1.165914,4.504689,2.218031,12.33687,1.84431,11.28851
2024-03-07 07:21:23,1.7098E+12,89.06882,"[{""N"":""548.6732""},{""N"":""667.0912""},{""N"":""1580.114""}]",89.06882,37.75,3.21,1.344196,5.787198,2.197024,12.14037,1.918405,11.85877
2024-03-07 07:20:22,1.7098E+12,89.48774,"[{""N"":""529.4047""},{""N"":""625.4744""},{""N"":""1603.671""}]",89.48774,37.75,3.04,1.232178,5.654157,2.090064,11.61941,1.837043,11.40397
2024-03-07 07:19:23,1.7098E+12,87.73029,"[{""N"":""522.9774""},{""N"":""672.1513""},{""N"":""1618.624""}]",87.73029,37.75,3.12,1.249907,6.231531,2.127777,12.18779,1.910932,11.91762
2024-03-07 07:17:03,1.7098E+12,94.03028,"[{""N"":""514.4883""},{""N"":""675.9811""},{""N"":""1589.866""}]",94.03028,37.75,3.07,1.186642,4.839253,2.203729,12.2217,1.778619,11.10319
2024-03-07 07:16:02,1.7098E+12,88.72392,"[{""N"":""586.6323""},{""N"":""576.0196""},{""N"":""1578.561""}]",88.72392,37.75,3.17,1.339538,5.888434,2.160777,11.87449,1.899231,11.7394
2024-03-07 07:15:03,1.7098E+12,87.19479,"[{""N"":""584.3723""},{""N"":""571.1249""},{""N"":""1563.208""}]",87.19479,37.75,2.94,1.125466,4.830246,2.06487,11.54803,1.768088,10.87258
2024-03-07 07:14:02,1.7098E+12,88.81541,"[{""N"":""525.9144""},{""N"":""693.3796""},{""N"":""1566.007""}]",88.81541,37.75,3.03,1.152647,4.602592,2.142974,12.2485,1.805636,11.28588
2024-03-07 07:13:03,1.7098E+12,89.15584,"[{""N"":""513.4662""},{""N"":""705.2285""},{""N"":""1549.435""}]",89.15584,37.75,3.02,1.22303,5.693253,2.077435,11.90973,1.820048,11.53358
2024-03-07 07:12:02,1.7098E+12,90.00263,"[{""N"":""560.1851""},{""N"":""579.1531""},{""N"":""1569.4""}]",90.00263,37.75,3.12,1.282291,6.048827,2.110307,12.03599,1.912884,11.98541
2024-03-07 07:11:03,1.7098E+12,89.7081,"[{""N"":""574.0462""},{""N"":""576.0603""},{""N"":""1554.752""}]",89.7081,37.75,3.17,1.230264,5.361292,2.21503,12.43842,1.90416,11.81754
2024-03-07 07:10:03,1.7098E+12,91.27661,"[{""N"":""574.4527""},{""N"":""568.4642""},{""N"":""1552.659""}]",91.27661,37.75,3.12,1.195464,5.532892,2.17962,12.43558,1.884362,11.90894
2024-03-07 07:09:02,1.7098E+12,87.08539,"[{""N"":""517.4148""},{""N"":""706.8353""},{""N"":""1563.344""}]",87.08539,37.75,2.99,1.118069,4.368041,2.137654,11.95997,1.774358,10.96802
2024-03-07 07:08:03,1.7098E+12,91.64741,"[{""N"":""509.5153""},{""N"":""695.157""},{""N"":""1568.394""}]",91.64741,37.75,3.04,1.133778,4.554191,2.168651,11.97757,1.802306,10.98644
2024-03-07 07:07:02,1.7098E+12,91.05483,"[{""N"":""578.152""},{""N"":""564.7929""},{""N"":""1550.719""}]",91.05483,37.75,3.03,1.20985,5.227145,2.109469,11.60168,1.807404,11.0464
2024-03-07 07:06:03,1.7098E+12,86.3849,"[{""N"":""581.8352""},{""N"":""566.4739""},{""N"":""1568.347""}]",86.3849,37.75,2.99,1.146899,4.53473,2.129611,11.92559,1.75915,10.9552
2024-03-07 07:05:02,1.7098E+12,88.13684,"[{""N"":""519.3414""},{""N"":""689.1443""},{""N"":""1567.929""}]",88.13684,37.6875,3.05,1.141403,4.500334,2.191616,12.16662,1.79173,11.17045
2024-03-07 07:04:03,1.7098E+12,88.71083,"[{""N"":""538.7445""},{""N"":""688.2463""},{""N"":""1592.072""}]",88.71083,37.6875,3.07,1.239699,5.732942,2.090795,11.609,1.880267,11.52227
2024-03-07 07:03:02,1.70979E+12,88.33984,"[{""N"":""538.4931""},{""N"":""583.72""},{""N"":""1554.461""}]",88.33984,37.625,3.02,1.110674,4.256001,2.166939,12.41206,1.786497,11.29286
2024-03-07 07:02:03,1.70979E+12,90.26016,"[{""N"":""561.8325""},{""N"":""577.8341""},{""N"":""1560.094""}]",90.26016,37.625,3.1,1.226915,5.150486,2.133132,11.96192,1.880032,11.43544
2024-03-07 07:01:02,1.70979E+12,88.01887,"[{""N"":""530.9928""},{""N"":""681.4552""},{""N"":""1565.919""}]",88.01887,37.5625,3.01,1.149723,4.338576,2.150352,11.9599,1.771159,10.91356
2024-03-07 07:00:03,1.70979E+12,86.18177,"[{""N"":""507.5821""},{""N"":""689.4872""},{""N"":""1563.025""}]",86.18177,37.5625,3.14,1.33148,5.984121,2.130814,11.84987,1.889308,11.63984
2024-03-07 06:59:02,1.70979E+12,89.5102,"[{""N"":""549.7942""},{""N"":""590.7897""},{""N"":""1483.253""}]",89.5102,37.5625,2.98,1.131892,4.499814,2.124469,11.84725,1.761243,10.99434
2024-03-07 06:58:03,1.70979E+12,88.66788,"[{""N"":""538.9186""},{""N"":""663.166""},{""N"":""1539.83""}]",88.66788,37.5625,3.1,1.174786,4.559328,2.216216,12.10116,1.821862,11.12415
